id,text,label
1,ketika saya sudah berusaha semaksimal mungkin tapi tetap kurang maksimal karena $saya merasa saya tidak begitu baik dan terlalu memaksakan diri$,All-or-nothing
2,"Saya ketika SD hingga SMP dulu beranggapan bahwa ketika saya tidak menduduki peringkat 1 di kelas, saya berarti kurang cukup pintar dan akan gagal di masa depan. Ketika itu saya SD kelas 3 hingga kelas 6 mendapat ranking 1 di kelas tanpa celah, hingga ketika SMP saya bersaing ketat dengan teman sekelas dan teman lain kelas saya. Ketika SMP, saya mulai merasakan rasa sakit ketika mendapati bahwa ternyata faktanya ada orang lain yang lebih pintar daripada saya dan lebih layak untuk mendapat juara 1 umum di sekolah dibanding saya. Tetapi kala itu ego saya sangat tinggi, ketika saya tidak mendapati juara 1 lagi, saya langsung memandang orang tersebut (yang mendapat juara 1) dengan cukup buruk, saya tidak mencoba bergaul dengan orang tersebut, saya membenci sosoknya, saya ikut menghindar dengan semua teman yang dekat dengannya. Kala itu saya masih belum menerima bahwa tidak berada di puncak bukan berarti akhir dari segalanya. Dan ketika orang lain sukses bukan berarti saya akan gagal, dan ketika itu terjadi, bukan berarti pula saya harus membenci orang yang bersangkutan pada hal yang bukan kendali saya.",All-or-nothing
3,Saya berfikir jika tidak lolos MBKM maka masa depan saya akan suram. Untungnya saya lolos MBKM.,All-or-nothing
4,"Di desa saya dulu ada dua kelompok pertemanan, nah saya berada di salah satunya. Saat itu saya menganggap bahwa klp lain itu buruk dan lain sebagainya. Memang saat itu kami agak tidak akur",All-or-nothing
5,Saya hanya berteman dengan orang yang tidak menyakiti saya dalam bertutur kata.,All-or-nothing
6,Ketika aku mengikuti lomba dimana aku mengharapkan juara 1 atau tidak sama sekali.,All-or-nothing
7,"pernah waktu SD-SMP, saya merasa kalo saya dapet ranking 2, saya gagal. Kalo ranking 1, baru berhasil",All-or-nothing
8,"Saya pernah tidak mendapatkan juara dalam sebuah lomba, saya sangat kecewa karena tidak mendapatkan juara. Saya hanya melihat secara ekstrim juara atau tidak",All-or-nothing
9,"Ketika berpacaran, saya hanya berpikiran bahwa selama masih pacaran berarti masih ada hubungan apabila sudah usai hubungan tersebut maka sudah tidak perlu saling berkomunikasi",All-or-nothing
10,Saya pernah mengikuti suatu kompetisi untuk memperebutkan juara 3 besar. Namun saat itu dari sekian banyak peserta saha hanya berhasil menjadi finalis dan bukan juara. Saat itu saya merasa tidak puas dan merasa gagal karena tidak bisa menempati 3 besar,All-or-nothing
11,"Saya pernah mencoba untuk menjalin hubungan dengan seseorang,yang dimana kita sebelum nya pernah dekat dan merasa satu sama lain cocok. Hingga suatu ketika seseorang ini tiba tiba menghilang dan tidak ada kabar yang membuat saya heran dan tidak seperti biasanya juga dia seperti ini, lantas beberapa hari kemudian saya melihat dia kembali lagi dengan mantan nya. Disana saya merasa kecewa,kalau tau begini akhir nya lebih baik saya tidak menjalin hubungan dengan orang ini dari awal dan ini juga membuat saya tidak berani untuk menjalin suatu hubungan.",All-or-nothing
12,"Pada saat SMA saya pernah berfikir menjadi siswa yang namanya terdaftar pada eligibel di SMA merupakan suatu pencapaian yg terbaik pada saat SMA tetapi saya juga merasa telah gagal saat tidak termasuk dalam daftar tersebut,tetapi itu bukan lah akhir untuk mencari cara masuk perguruan tinggi",All-or-nothing
13,"Tentu saja, sebagai seseorang yang straighforward, ini sering kaki terjadi kepada saya. Salah satu kejadian itu adalah ketika saya melakukan olahraga rutin, saya tidak akan melakukan olahraga yang hanya setengah-setengah kerjakan sampai penuh, apabila waktu hanya cukup untuk melakukan setengah, maka saya tidak akan olahraga.",All-or-nothing
14,Saya mendapatkan nilai B dalam salah satu mata kuliah di Informatima. Dan saya sangat kecewa karena bukan mendapat nilai A. Saya melihat kesuksesan dalam ujian seperti “saya mendapat nilai memuaskan atau mendapat kegagalan”,All-or-nothing
15,Saya hanya ingin berteman dengan orang yang memberikan saya keuntungan,All-or-nothing
16,"pernah teman saya saat dia mengingikan berangkat ke suatu tempat dia mengajak beberapa orang, $namun saat salah satu orang berhalangan, dia menganggap orang tersebut bukan seperti temannya sendiri$",All-or-nothing
17,$Ak berpikir kalau gagal mendapatkannya(pacar) maka lebih baik tidak berpcaran dengan siapaun dlu$,All-or-nothing
18,"saya bertengkar dengan teman saya karena pacarnya, namun disaat itu dia tidak bisa bergerak atau membela siapapun meskipun teman saya tau semuanya salah paham, saya memutuskan $jika dia tidak sama sekali membela saya, maka saya akan memutuskan segala komunikasi kepadanya$",All-or-nothing
